 
Grao en Turismo. Exames. Adianto de oportunidade. Curso 2025-2026  
Materia  Día  Hora  Aula   
Xestión de Calidade  17 de novembro  10.00  consultar co/a profesor/a  
Primeiro Idioma Moderno I: inglés  17 de novembro  16.00  consultar co/a profesor/a  
Segundo Idioma Moderno II: francés  19 de novembro  10.00  consultar co/a profesor/a  
Segundo Idioma Moderno III: francés  20 de novembro  10.00  consultar co/a profesor/a  
Patrimonio Cultural  21 de novembro  10.00  consultar co/a profesor/a  
Comercialización de Produtos Turísticos  24 de novembro  10.30  consultar co/a profesor/a  
Segundo Idioma Moderno II: alemán  24 de novembro  12.00  consultar co/a profesor/a  
Segundo Idioma Moderno III: alemán  24 de novembro  12.00  consultar co/a profesor/a  
Fiscalidade Turística  26 de novembro  18.00  consultar co/a profesor/a  
   
