INICIO
LA EUAT-AC
SERVICIOS
GOBIERNO
TITULACIONES
PROFESORADO
ALUMNADO
NOTICIAS
LA EUAT-AC
SERVICIOS
GOBIERNO
TITULACIONES
PROFESORADO
ALUMNADO
NOTICIAS
Noticias 2012-2013
Noticias EUAT
Noticias 2024-2025
Histórico 2023-2024
Histórico 2022-2023
Histórico 2021-2022
Histórico 2020-2021
Histórico 2019-2020
Histórico 2018-2019
Histórico 2017-2018
Histórico 2016-2017
Histórico 2015-2016
Historico 2014-2015
Historico 2013-2014
Historico 2012-2013
Historico 2011-2012
Copyright © 2025 E. U. de Arquitectura Técnica de A Coruña. Todos los derechos reservados.
Universidade da Coruña Admin Login
Título | Fecha de publicación
TRIBUNALES PFC ARQUITECTURA TÉCNICA::CONVOCATORIA JULIO 2013 | 16-07-13
MOVILIDAD INTERNACIONAL EUAT::TERCERA CONVOCATORIA PLAZAS MOVILIDAD INTERNACIONAL ERASMUS Y BILATERAL CON FINES DE ESTUDIOS | 10-07-13
TFG 2012/13::INSTRUCCIONES Y MODELOS PARA EVALUACIÓN TFG CURSO 2012-2013 | 01-07-13
TFG 2012/13::PUBLICACIÓN TRIBUNALES JULIO 2013 | 01-07-13
PFC ARQUITECTURA TÉCNICA::PLAZO MATRÍCULA JULIO 2013 | 07-06-13
MOVILIDAD EUAT::ENCUESTA EIS MEJORA ERASMUS | 04-06-13
TFG 2012/13::PUBLICACIÓN TRIBUNALES JUNIO | 22-05-13
BIBLIOTECA EUAT::AMPLIACIÓN DE HORARIO JUEVES | 20-05-13
MOVILIDAD EUAT::PUBLICACIÓN LISTADO PLAZAS SEGUNDA CONVOCATORIA 13/14 | 15-05-13
AVALIACIÓN DOCENTE::MATERIAS SEGUNDO CUATRIMESTRE | 13-05-13
BECAS MEC::CRITERIOS ACADÉMICOS ACCESO BECAS MEC CURSO 2013/2014 | 07-05-13
MOVILIDAD EUAT::RELEVO EN LA COORDINACIÓN ACADÉMICA DE RRII | 23-04-13
ACTIVIDAD EUAT::VISITA AL PATRIMONIO ARQUITECTÓNICO DE "TERRA DE SONEIRA" | 18-04-13
INICIATIVA EMPRENDEDORA::MÓDULO PROGRAMA FORMACIÓN EOI | 12-04-13
CONFERENCIA EUAT::SISTEMAS DE REHABILITACIÓN INTEGRAL | 10-04-13
MOVILIDAD INTERNACIONAL::SEGUNDA CONVOCATORIA PLAZAS MOVILIDAD INTERNACIONAL ERASMUS Y BILATERAL CON FINES DE ESTUDIOS | 09-04-13
MASTER TES::VISITA FORMATIVA AL LABORATORIO IBÉRICO DE NANOTECNOLOGÍA | 05-04-13
MODIFICACIÓN DENOMINACIÓN TÍTULO::PROPUESTA APROBADA EN CONSELLO DE GOBERNO 21/03/2013 | 03-04-13
NOVEDADES DENOMINACIÓN TÍTULO::ACUERDO DEL CONSELLO DE GOBERNO 21/03/2013 | 22-03-13
MÓDULO DE FORMACIÓN::FOMENTO DE LA INICIATIVA EMPRENDEDORA | 20-03-13
ELECCIONES EUAT 2013::PROCLAMACIÓN DE CANDIDATURAS | 18-03-13
NOTA INFORMATIVA::EXTINCIÓN DEL TITULO DE ARQUITECTURA TÉCNICA | 17-03-13
BIBLIOTECA EUAT::AMPLIACIÓN DE HORARIO VIERNES | 12-03-13
CONFERENCIA EUAT::MATEMÁTICA Y ARQUITECTURA | 08-03-13
TRIBUNALES PFC ARQUITECTURA TÉCNICA::CONVOCATORIA MARZO 2013 | 08-03-13
PRÁCTICAS EXTERNAS EXTRACURRICULARES::NUEVAS PLAZAS CONCELLO DA CORUÑA | 05-03-13
TFG 2012/13::ASIGNACIÓN TUTORES SEGUNDA CONVOCATORIA | 04-03-13
TFG 2012/13::RELACIÓN DE OFERTA, ORDEN DE PRELACIÓN Y CONVOCATORIA ACTO ASIGNACIÓN TUTORES | 01-03-13
MOVILIDAD INTERNACIONAL::PUBLICACIÓN LISTADO PROVISIONAL PLAZAS MOVILIDAD 13/14 | 01-03-13
PRÁCTICAS EXTERNAS EXTRACURRICULARES::CONCELLO DA CORUÑA | 26-02-13
TFG 2012/13::PUBLICACIÓN LISTADO PROVISIONAL DE OFERTA DE TFGs | 26-02-13
MOVILIDAD EUAT::CONVOCATORIA SICUE 13/14 | 21-02-13
PFC ARQUITECTURA TÉCNICA::PLAZO MATRÍCULA MARZO 2013 | 15-02-13
MOVILIDAD INTERNACIONAL::ACORDOS DA COMISIÓN DOCENTE SOBRE RECOÑECEMENTO ACADÉMICO | 06-02-13
TFG 2012/13::AMPLIACIÓN DE MATRÍCULA | 06-02-13
MOVILIDAD EUAT::CONVOCATORIA SICUE 2013/2014 | 05-02-13
MOVILIDAD INTERNACIONAL::REUNIÓN INFORMATIVA EUAT | 31-01-13
TFG 2012/13::CALENDARIO AVALIACIÓN Y DEFENSA | 29-01-13
ORGANIZACIÓN DOCENTE::REASIGNACIÓN DE ESPACIOS POR OBRAS | 24-01-13
MOVILIDAD INTERNACIONAL 13/14::REUNIÓN INFORMATIVA | 22-01-13
PRÁCTICAS EXTERNAS GRADO::CONVOCATORIA SELECCIÓN PRÁCTICAS EXTERNAS CURRICULARES | 17-01-13
ORGANIZACIÓN DOCENTE::ARMONIZACIÓN DE DOCENCIA PRIMERA SEMANA LECTIVA SEGUNDO CUATRIMESTRE | 16-01-13
MOVILIDAD INTERNACIONAL::CONVOCATORIA PLAZAS ERASMUS Y BILATERAL CON FINES DE ESTUDIOS | 15-01-13
AVALIACIÓN DOCENTE::MATERIAS PRIMER CUATRIMESTRE | 15-01-13
SINATURA ELECTRÓNICA::REUNIÓN INFORMATIVA PDI EUAT | 16-12-12
PRÁCTICAS EXTERNAS GRADO::CONVOCATORIA DICIEMBRE 2012 | 14-12-12
CONFERENCIA EUAT::ACCESIBILIDAD | 13-12-12
PROFESORA EUAT PREMIADA  POR TRABAJO INVESTIGACIÓN | 12-12-12
BIBLIOTECA EUAT::AVISO DE CIERRE TEMPORAL POR TRASLADO | 07-12-12
CONFERENCIA EUAT::EL PRIMER EDIFICIO DEL SIGLO XXI | 05-12-12
BIBLIOTECA EUAT::CIERRE TEMPORAL POR REFORMA | 05-12-12
TFG 2012/13::ASIGNACIÓN DE TRABAJOS FIN DE GRADO | 03-12-12
TFG 2012/13::RESOLUCIÓN ADMINISTRATIVA. RECTIFICACIÓN ORDEN DE LLAMADA: ANEXO I | 29-11-12
TFG 2012/13::LISTA DE OFERTA PÚBLICA REVISADA | 28-11-12
TFG 2012/13::CONVOCATORIA Y PROCEDIMIENTO DE SELECCIÓN | 21-11-12
TRIBUNALES PFC ARQUITECTURA TÉCNICA::CONVOCATORIA NOVIEMBRE 2012 | 19-11-12
CICLO CONFERENCIAS::RÉGIMEN ACTUAL DEL ARQUITECTO TÉCNICO | 14-11-12
NUEVO SERVICIO TAQUILLAS EUAT | 12-11-12
BECAS::CONVOCATORIA DE BOLSAS UDC 2012/2013 DE COLABORACIÓN EN DEPARTAMENTOS Y BIBLIOTECAS | 12-11-12
CONCURSO::SOLUCIONES CONSTRUCTIVAS CON PREFABRICADOS DE HORMIGÓN | 08-11-12
PREPARA ERASMUS::REQUISITOS LINGÜÍSTICOS CURSO 2013/14 | 07-11-12
