INICIO
LA EUAT-AC
SERVICIOS
GOBIERNO
TITULACIONES
PROFESORADO
ALUMNADO
NOTICIAS
LA EUAT-AC
SERVICIOS
GOBIERNO
TITULACIONES
PROFESORADO
ALUMNADO
NOTICIAS
Noticias EUAT
Noticias 2024-2025
Histórico 2023-2024
Histórico 2022-2023
Histórico 2021-2022
Histórico 2020-2021
Histórico 2019-2020
Histórico 2018-2019
Histórico 2017-2018
Histórico 2016-2017
Histórico 2015-2016
Historico 2014-2015
Historico 2013-2014
Historico 2012-2013
Historico 2011-2012
Copyright © 2025 E. U. de Arquitectura Técnica de A Coruña. Todos los derechos reservados.
Universidade da Coruña Admin Login
Título | Fecha de publicación
OFERTA DE PRÁCTICAS EXTERNAS EXTRACURRICULARES (17) | 23-08-16
TRIBUNALES Y DEFENSAS TFM:: MUTES JULIO 2016 | 15-07-16
OFERTA DE PRÁCTICAS EXTERNAS EXTRACURRICULARES (16) | 13-07-16
ENTREGA PREMIOS PLACO INNOVACIÓN A ESTUDIANTES EUAT | 13-07-16
TRIBUNALES Y DEFENSAS TFG:: JULIO 2016 | 06-07-16
DIPUTACIÓN PROVINCIAL: CONVOCATORIA PARA PUESTOS DE ARQUITECTOS TÉCNICOS | 06-07-16
NUEVA OFERTA DE PRÁCTICAS EXTRACURRICULARES (Nº15) | 07-06-16
NUEVA OFERTA DE PRÁCTICAS EXTRACURRICULARES (Nº14) | 06-06-16
TRIBUNALES Y DEFENSAS TFG JUNIO 2016 | 06-06-16
MOVILIDAD INTERNACIONAL 2016/17 ERASMUS+ Y BILATERAL:: SEGUNDA CONVOCATORIA:LISTADO DEFINITIVO | 31-05-16
ADIVINA QUIÉN PUEDE HACER TODO ESTO::GANADOR CONCURSO VIDEOS ASAT-PROMOCIÓN ARQUITECTO TÉCNICO | 30-05-16
NUEVA OFERTA DE PRÁCTICAS EXTRACURRICULARES (Nº13) | 16-05-16
LISTAS PROVISIONALES DE ADMISIÓN ESTUDIANTES AJENOS AL EEES EN LOS MASTER EUAT | 12-05-16
NUEVA OFERTA PRÁCTICAS EXTRACURRICULARES (Nº12) | 11-05-16
11/05::CONSTRUCCIONES MODULARES GALLEGAS. NUEVAS EXPERIENCIAS | 09-05-16
04/05::II JORNADA DE TECNOLOGÍAS PARA LA INGENIERÍA ACÚSTICA | 26-04-16
MOVILIDAD SICUE::RESOLUCIÓN 2016-2017 | 12-04-16
EURONIT::JORNADA TÉCNICA+VISITA A FÁBRICA:22+29/04 | 08-04-16
AVISO: ESTUDIANTES PENDIENTES ENTREGA ESQUEMA TFG 2015-2016. PLAZO SUBSANACIÓN. | 07-04-16
JORNADA BOMBEROS AC::08/04 | 03-04-16
CONFERENCIA RMD KWIKFORM::06/04 | 03-04-16
ACTIVIDADES WEBER: JORNADAS TÉCNICAS, TALLERES, VISITAS::13+15/04 | 28-03-16
ASIGNACIÓN TFG 2015:2016 (AMPLIACIÓN DE MATRÍCULA)::30/03 | 15-03-16
MOVILIDAD INTERNACIONAL 2016/17 ERASMUS+ Y BILATERAL:: RESOLUCIÓN PRIMERA CONVOCATORIA | 14-03-16
CONFERENCIA::PROMOTORES Y CONSTRUCTORES::16/03 | 13-03-16
PROGRAMACIÓN ACTIVIDADES EUAT:: MARZO-MAYO 2016 | 09-03-16
CONFERENCIA:PXOM A CORUÑA. PEPRI. "OBTENCIÓN Y GESTIÓN DE LICENCIAS"::10/03 | 08-03-16
CONFERENCIA: LA PROFESIÓN EN PORTUGAL::09/03 | 07-03-16
JORNADA BRÉTEMA CONSTRUCCIÓN ECOEFICIENTE CON MADERA::11/03 | 07-03-16
SEMINARIO EUAT: PREPÁRATE PARA ENFRENTARTE A LOS PROCESOS DE SELECCIÓN DE EMPRESAS::04/03 | 29-02-16
CONFERENCIA MURPROTEC: PATOLOGÍAS DE LAS HUMEDADES ESTRUCTURALES:: 02/03 | 28-02-16
NUEVA OFERTA PRÁCTICAS EXTRACURRICULARES (Nº 11) | 28-02-16
NUEVO TALLER BIM: GESTIÓN DOCUMENTAL | 17-02-16
OBRADOIRO::TORNEADO DE MADEIRA::26/02 | 17-02-16
SEMINARIO EUAT FOMENTO CULTURA EMPRENDEDORA::19/02 | 16-02-16
REUNION INFORMATIVA ERASMUS EUAT::15/02 | 04-02-16
TRIBUNALES Y DEFENSAS TFG FEBRERO 2016 | 02-02-16
PRÁCTICAS CURRICULARES 2015/16:: PRIMERA CONVOCATORIA | 01-02-16
MOVILIDAD INTERNACIONAL 2016/17 ERASMUS+ Y BILATERAL:: PRIMERA CONVOCATORIA | 01-02-16
I CONCURSO INNOVACIÓN:: PLACO-EUAT | 24-01-16
INICIO TALLERES BIM SEGUNDO CUATRIMESTRE | 24-01-16
DEFENSAS DE TESIS DOCTORALES PROFESORADO EUAT: 21-22/12 | 11-12-15
DEFENSAS TFG DICIEMBRE 2015 | 09-12-15
OFERTAS DE PRÁCTICAS EXTRACURRICULARES | 30-11-15
JORNADA FOTOCATÁLISIS: CONSTRUCCIONES DESCONTAMINANTES Y AUTOLIMPIABLES:: 3/12 | 24-11-15
PRÁCTICAS UDC SANTANDER CRUE CEPYME | 21-11-15
ACTO ACADÉMICO GRADUACIONES Y PREMIOS GALICIA::27/11 | 18-11-15
CURSO INICIACIÓN USO PROFESIONAL DRONES | 10-11-15
VISITAS A OBRAS: FÁBRICA DE TABACOS | 09-11-15
TALLERES BIM: PROGRAMACIÓN PRIMER CUATRIMESTRE | 06-11-15
CALENDARIO ADELANTO DE CONVOCATORIA DE EVALUACIÓN DICIEMBRE 2015 | 30-10-15
LA EUAT OBTIENE LA BANDERA VERDE GREENCAMPUS | 26-10-15
WORKSHOP TECNOLOGÍAS AVANZADAS DE LEVANTAMIENTO MUTES TARGET 1516 | 23-10-15
CALENDARIO DEFENSAS TFG 2015-16 | 19-10-15
23 OCTUBRE::PRESENTACIÓN ACTIVIDADES BIMCLUB.ES Y EUAT | 19-10-15
LISTADOS DEFINITIVOS DE ADMISIÓN EN 3º PLAZO MÁSTERES UNIVERSITARIOS EUAT | 11-10-15
NOTA INFORMATIVA::ELABORACIÓN DE LA OFERTA DE TFG 2015-2016 | 07-10-15
LISTADOS PROVISIONALES DE ADMISIÓN EN 3º PLAZO MÁSTERES UNIVERSITARIOS EUAT | 01-10-15
DEFENSAS Y TRIBUNALES DE FIN DE CARRERA: ARQUITECTURA TÉCNICA | 19-09-15
LISTADOS DEFINITIVOS DE ADMISIÓN EN 2º PLAZO MÁSTERES UNIVERSITARIOS EUAT | 15-09-15
TRIBUNALES Y DEFENSAS TFM::MÁSTERES UNIVERSITARIOS EUAT. SEPTIEMBRE 2015 | 14-09-15
ACUERDO DEL CONSEJO DE MINISTROS PARA LA CORRESPONDENCIA AL NIVEL 2 MECES DEL ARQUITECTO TÉCNICO | 13-09-15
LISTADOS PROVISIONALES DE ADMISIÓN EN 2º PLAZO MÁSTERES UNIVERSITARIOS EUAT | 09-09-15
MIÉRCOLES 9: CURSO BÁSICO BIBLIOTECA UNIVERSITARIA PARA NUEVOS ESTUDIANTES EUAT | 08-09-15
TRIBUNALES Y DEFENSAS TFG SEPTIEMBRE 2015. GRADO ARQUITECTURA TÉCNICA. | 07-09-15
LISTADOS DEFINITIVOS DE 1ª ADMISIÓN EN MÁSTERES UNIVERSITARIOS EUAT | 28-07-15
MOVILIDAD INTERNACIONAL  (ERASMUS+, BILATERAL Y NILS) UDC 15/16. TERCERA CONVOCATORIA | 17-07-15
