INICIO
LA EUAT-AC
SERVICIOS
GOBIERNO
TITULACIONES
PROFESORADO
ALUMNADO
NOTICIAS
LA EUAT-AC
SERVICIOS
GOBIERNO
TITULACIONES
PROFESORADO
ALUMNADO
NOTICIAS
Noticias 2013-2014
Noticias EUAT
Noticias 2024-2025
Histórico 2023-2024
Histórico 2022-2023
Histórico 2021-2022
Histórico 2020-2021
Histórico 2019-2020
Histórico 2018-2019
Histórico 2017-2018
Histórico 2016-2017
Histórico 2015-2016
Historico 2014-2015
Historico 2013-2014
Historico 2012-2013
Historico 2011-2012
Copyright © 2025 E. U. de Arquitectura Técnica de A Coruña. Todos los derechos reservados.
Universidade da Coruña Admin Login
Título | Fecha de publicación
OFERTA DE PRÁCTICAS EXTRACURRICULARES: JULIO 2014. PUBLICACION LISTADO ADMITIDOS PROCESO SELECCIÓN | 04-08-14
OFERTA DE PRÁCTICAS EXTRACURRICULARES: JULIO 2014. INCORPORACIÓN INMEDIATA | 28-07-14
LISTADO DEFINITIVO DE ADMITIDOS Y EXCLUIDOS MÁSTER UNIVERSITARIO EN TECNOLOGÍAS DE LA EDIFICACIÓN SOSTENIBLE: PRIMER PLAZO | 21-07-14
LISTADO DEFINITIVO DE ADMITIDOS Y EXCLUIDOS MÁSTER UNIVERSITARIO EN DIRECCIÓN INTEGRADA DE PROYECTOS: PRIMER PLAZO | 21-07-14
DEFENSAS TFM MASTER UNIVERSITARIO EN TECNOLOGÍAS DE EDIFICACIÓN SOSTENIBLE:JULIO 2014 | 15-07-14
DEFENSAS DE PFC ARQUITECTURA TÉCNICA: TRIBUNALES JULIO 2014 | 15-07-14
NOTA ACLARATORIA EXÁMENES VIERNES 18 DE JULIO | 14-07-14
LISTADO PROVISIONAL DE ADMITIDOS Y EXCLUIDOS MÁSTER UNIVERSITARIO EN DIRECCIÓN INTEGRADA DE PROYECTOS: PRIMER PLAZO | 14-07-14
LISTADO PROVISIONAL DE ADMITIDOS Y EXCLUIDOS MÁSTER UNIVERSITARIO EN TECNOLOGÍAS DE LA EDIFICACIÓN SOSTENIBLE: PRIMER PLAZO | 11-07-14
PUBLICACIÓN TRIBUNALES DEFENSAS TFG:JULIO 2014 | 09-07-14
SOBRESALIENTE CUM LAUDE EN DOS TESIS DOCTORALES | 08-07-14
INFORMACIÓN REMITIDA POR EL CLUSTER DE LA MADERA DE GALICIA | 02-07-14
DEFENSA DE TESIS DOCTORAL EN LA EUAT | 24-06-14
FESTIVIDAD DE SAN JUAN | 19-06-14
PARTICIPACIÓN DE LA EUAT EN  ERASMUS IP: IUT DE CORTE, CÓRCEGA | 17-06-14
LISTADO ADMITIDOS PROCESO ADJUDICACIÓN PRACTICAS EXTERNAS EXTRACURRICULARES DE 11 DE JUNIO | 17-06-14
NUEVA OFERTA PRÁCTICAS EXTERNAS EXTRACURRICULARES | 11-06-14
MATRICULA DEFENSAS TRABAJO DE FIN DE CARRERA: ARQUITECTURA TÉCNICA | 11-06-14
TFG 2013/14: TRIBUNALES DEFENSAS JUNIO 2014 | 11-06-14
TFM MUDIP::TRIBUNALES JUNIO 2014 | 09-06-14
FESTIVIDAD DE SAN JUAN DE ORTEGA: LUNES 2 DE JUNIO LA EUAT PERMANECERÁ CERRADA | 30-05-14
NOVEDADES TFG: NORMAS PRESENTACIÓN DIGITAL Y PROCEDIMIENTO SOLICITUD DE DEFENSA | 29-05-14
POSGRADO BIM EXPERT: CONFERENCIA VIRTUAL CONSTRUCTION: BIM 4D-BIM 5D | 27-05-14
MOVILIDAD EUAT: RESOLUCIÓN DEFINITIVA SEGUNDA CONVOCATORIA PLAZAS MOVILIDAD INTERNACIONAL ESTUDIANTES | 27-05-14
CALENDARIO DE EXÁMENES MATERIAS EXTINGUIDAS DEL PLAN DE ESTUDIOS DE ARQUITECTURA TÉCNICA | 22-05-14
MOVILIDAD EUAT: RESOLUCIÓN PROVISIONAL SEGUNDA CONVOCATORIA PLAZAS MOVILIDAD INTERNACIONAL ESTUDIANTES | 15-05-14
ACTOS DÍA DAS LETRAS GALEGAS 2014 NA UDC | 12-05-14
NUEVO SERVICIO: PRÉSTAMO DE NOTEBOOKS EN LA BIBLIOTECA DEL CENTRO | 12-05-14
EL GRADO DE LA EUAT OCUPA  EL 4º LUGAR ENTRE LAS TITULACIONES SIMILARES EN LA UNIVERSIDAD ESPAÑOLA SEGÚN RANKING 50 CARRERAS DIARIO EL MUNDO | 07-05-14
LISTADO ADMITIDOS MASTER TES ALUMNOS  AJENOS AL EEES | 07-05-14
LISTADO ADMITIDOS MASTER DIP ALUMNOS AJENOS AL EEES | 07-05-14
PUBLICACIÓN RESOLUCIÓN UDC CAMBIO DENOMINACIÓN DEL TÍTULO DE GRADO | 05-05-14
HOMENAJE (IN MEMORIAM) A MILAGROS REY HOMBRE | 29-04-14
SEMANA CULTURAL SAN JUAN DE ORTEGA 2014 | 28-04-14
MOVILIDAD INTERNACIONAL 14/15: SEGUNDA CONVOCATORIA | 28-04-14
I CONCURSO UDC  MONÓLOGOS EN LENGUA GALLEGA | 21-04-14
TFG: AMPLIACIÓN DE MATRÍCULA: ASIGNACIONES DEFINITIVAS Y PLAZO PRESENTACIÓN ESQUEMAS | 31-03-14
1 DE ABRIL: PONENCIA ISOVER EN OPTATIVA MEDICIONES ACÚSTICAS | 31-03-14
TFG: AMPLIACIÓN DE MATRÍCULA:RELACIONES DEFINITIVAS Y OFERTA TRABAJOS | 26-03-14
ERASMUS INTENSIVE PROGRAM:: SELECCIÓN ESTUDIANTES GRADO ARQUITECTURA TÉCNICA | 20-03-14
TFG: AMPLIACIÓN DE MATRÍCULA:RELACIONES PROVISIONALES Y OFERTA TRABAJOS | 19-03-14
MOVILIDAD INTERNACIONAL ESTUDIANTES: PUBLICACIÓN RESOLUCIÓN DEFINITIVA DE PLAZAS: PRIMERA CONVOCATORIA 14/15. | 19-03-14
PFC ARQUITECTURA TÉCNICA::TRIBUNALES MARZO 2014 | 17-03-14
INTERNATIONAL SUMMER SCHOOL | 10-03-14
GREENCAMPUS: PRESENTACIÓN DEL PROGRAMA | 10-03-14
